dataset,id,fp_sol,Address,SolidityVersion,property,SWC,DASP
JiuZhou,byte[],f4f5521d8231f09f5145a06c6e55315f,,0.6.2,['byte[]'],[],[10]
JiuZhou,NoGuessTheNumber,6ba169c3d2f761905141e198142ebe97,,0.6.2,[],[],[]
JiuZhou,NoLockedMoney1,6b753e9924eeb7ada8352929dd784d78,,0.6.2,[],[],[]
JiuZhou,MissConstructor1,84eed6d15252786519030e276969c245,,0.6.2,['Write the wrong constructor name'],[118],[2]
JiuZhou,ImplicitVisibility1,ca4118c3ab32b2aed6bf817b4bafdee3,,0.6.2,['Implicit visibility level'],[108],[2]
JiuZhou,NoComplexFallback,f41bfd87983745caa5d3a6fb8fb8f0f2,,0.6.2,[],[],[]
JiuZhou,IntegerSignednessError,f8d239d0de68cced8a4df21d91396edb,,0.6.2,['Integer signedness'],[999],[3]
JiuZhou,MissConstructor,730f512b4e7a90ffb1776a2edd87101b,,0.4.26,['Write the wrong constructor name'],[118],[2]
JiuZhou,ArbitraryFunctionType,505345e7fb02a545f62026df5b7ae895,,0.5.16,['Any type of specified function variable'],[127],[10]
JiuZhou,NestedCall,68f13a52f8cf87ea0cb8d5d94ca1ca9b,,0.6.2,['DOS by gaslimit'],[128],[5]
JiuZhou,ArbitraryWrite,91a61edc3f95d893a95cc83f31e2c85f,,0.6.2,['Storage overlap attack'],[124],[2]
JiuZhou,badProxy,1ff0e80d13c4b745b35c863a71f92e50,,0.6.2,['The call address or data are externally controlled'],[112],[2]
JiuZhou,NoArbitraryFunctionType,2053861ae254da764cc355c599c738fb,,0.5.16,[],[],[]
JiuZhou,AssertError,bfde15c487502cceddb4c4778e3e6ec7,,0.6.2,['Improper use of assert'],[110],[10]
JiuZhou,BarRequireError,03d0baf5a3e31dda5d1efe05d40658d8,,0.6.2,['Improper use of require'],[123],[10]
JiuZhou,NoAssertError,b8fe1ff0ab2c71f9603024595e45a431,,0.6.2,[],[],[]
JiuZhou,BobAnswer,df10621383b581bfcba0b0ba59b5968f,,0.6.2,['Forced accept ethers'],[132],[5]
JiuZhou,NoBadDelegate,0345fd45c66b19acd3d1ea62659fe7c6,,0.6.2,[],[],[]
JiuZhou,ConstBalanceInLoop,a643d34bfd7cff34c3eb49200efc0206,,0.6.2,['Invariant in loop'],[],[10]
JiuZhou,NoBadProxy,fe4740d612b8a1eb0c448692fd3b058d,,0.6.2,[],[],[]
JiuZhou,NoBobAnswer,2a61232ba6dada64acfc1cea889e1489,,0.6.2,[],[],[]
JiuZhou,NoByte[],5ce2c119b41d041966e8dfc7411075fc,,0.6.2,[],[],[]
JiuZhou,DangerousRandomNumbers,6a08c4751470fa5406cf416acf404220,,0.6.2,['Randomness affected by miners'],[120],[6]
JiuZhou,NoConstBalanceInLoop,cae8328b3655792d4869b75f04a56804,,0.6.2,[],[],[]
JiuZhou,FalseOrder,0e7d44697efe5ffbd4a6888f9254516c,,0.5.16,['Incorrect inheritance order'],[125],[10]
JiuZhou,badTxorigin,cf25cfeec2c994df5c0da571fdc57328,,0.6.2,['Txorigin for authentication'],[115],[2]
JiuZhou,deleteDynamic,9e60d542b54aa9ae929337976d91d690,,0.6.2,['Removes dynamic array elements'],[],[10]
JiuZhou,NoConstBalanceInLoop1,fc452aea74e07d208d2fb519861d9453,,0.6.2,[],[],[]
JiuZhou,deleteDynamicArray,2d516f3e19729be9001860c518474022,,0.6.2,['DOS by gaslimit'],[128],[5]
JiuZhou,deprecated,5436a080bd0e6bb074c165d6d7b8cba4,,0.4.26,['Use deprecated built-in symbols'],[111],[10]
JiuZhou,dowhileButNoContinue,74e28c126192caa488f28fd004dcc94a,,0.4.26,[],[],[]
JiuZhou,GuessNumber,32e4857e9226cfd10b25785bf4129234,,0.6.2,['Right-To-Left-Overridecontrolcharacter (U+202E)'],[130],[10]
JiuZhou,HardCodeAddress,4198b0cc758eb6af1b8bedbd4ed4253e,,0.6.2,['DOS by non-existent address or contract'],[113],[5]
JiuZhou,dowhileContinue,f0765707dffab55d365be3234f36686e,,0.4.26,['continue in do-while'],[128],[5]
JiuZhou,NoPrivatePass,848a7e81e4abbbf0ef0a783f6e73f246,,0.6.2,[],[],[]
JiuZhou,NoDeleteDynamic,51c7ce3370b12d978e9191bc04154abb,,0.6.2,[],[],[]
JiuZhou,NoProdigal,b58deeaaab717523d47985c4d1561f63,,0.6.2,[],[],[]
JiuZhou,NoDeleteDynamicArray,2f3b02206937b810c0f09f7264f54235,,0.6.2,[],[],[]
