dataset,id,fp_sol,Address,SolidityVersion,property,SWC,DASP
SWCregistry,Lockdrop,24c612cdf8860794850d30294478465f,0x1b75b90e60070d37cfa9d87affd124bb345bf70a,0.5.0,['SWC-132'],[132],[5]
SWCregistry,MDTCrowdsale,d45c20e18623a8cf87ebb0d30506d420,,0.4.25,['SWC-125'],[125],[10]
SWCregistry,ShadowingInFunctions,526bb275d8a973307fcfeed06f88643f,,0.4.24,['SWC-119'],[119],[10]
SWCregistry,TokenSale,45b479d7803e9201ba5ca8dfb65e78bc,,0.4.24,['SWC-119'],[119],[10]
SWCregistry,TokenSale_fixed,0b15062b3b1ad7158064ee8a49e9aea5,,0.4.25,[],[],[]
SWCregistry,WalletLibrary,a1990e2aea0df4c1ccc89e8b599f1de7,,0.4.9,"['SWC-106', 'access_control-106', 'access_control-124']","[106, 124]",[2]
SWCregistry,access_control,da7f84fece7ffcf99fa8fe110b780736,,0.5.0,['SWC-133'],[133],[10]
SWCregistry,access_control_fixed_1,8473e4c2b1b321bb3d94a594b8a4ca3a,,0.5.0,[],[],[]
SWCregistry,access_control_fixed_2,7cd5bbd1b49dbd303d54d946e462b43b,,0.5.0,[],[],[]
SWCregistry,arbitrary_location_write_simple,7e429988e4b6bebb71b63aa21a182a9c,,0.4.25,"['SWC-124', 'access_control-124']",[124],[2]
SWCregistry,arbitrary_location_write_simple_fixed,99f17161c349ab10ad15a424d38171df,,0.4.25,[],[],[]
SWCregistry,assert_constructor,092bef56912fc2d068ff495b84c5981c,,0.4.19,['SWC-110'],[110],[10]
SWCregistry,assert_minimal,9b4a04859ba349db092a330bd3eba504,,0.4.19,['SWC-110'],[110],[10]
SWCregistry,assert_multitx_1,3dd7dbcac5b0c287dae3a076a507a0a7,,0.4.19,[],[],[]
SWCregistry,assert_multitx_2,a933e611ec32798deba79b7f3042a040,,0.4.19,['SWC-110'],[110],[10]
SWCregistry,constructor_create,4e7cc2c944298de4c1418619b47e2c6a,,0.4.25,['SWC-110'],[110],[10]
SWCregistry,constructor_create_argument,7ce09f20d6783f0072d9fbd3a23de751,,0.4.22,['SWC-110'],[110],[10]
SWCregistry,constructor_create_modifiable,2b3f9fad939d190b84d9c162cd8d3b4f,,0.4.22,['SWC-110'],[110],[10]
SWCregistry,simple_dao_fixed,a051e4d73e6375d48f5b59ef594bec57,,0.4.24,[],[],[]
SWCregistry,simple_ether_drain,d3758916f9e6e932cb6b4a2a4723fe9e,,0.4.22,['SWC-105'],[105],[2]
SWCregistry,BECToken,48079583e417364eef5aea4e69d764de,,0.4.16,"['SWC-101', 'arithmetic']",[101],[3]
SWCregistry,FunctionTypes,564597f346421e0ae96e92266374d8c5,,0.4.25,['SWC-127'],[127],[10]
SWCregistry,crypto_roulette_fixed,2c5917d3d127ce49bde240085fe2ae97,,0.4.19,[],[],[]
SWCregistry,deposit_box,fbe58e99d0b0810337ae5f4e4853c8d2,0x55011de64cffc2c79007f6aa82ec1e6df7193bf5,0.5.0,['SWC-135'],[135],[10]
SWCregistry,deposit_box_fixed,2fe5ca683c5d5ad2d40f3ead3f43d5eb,,0.5.0,[],[],[]
SWCregistry,deprecated_simple,02e245938145d2e3e48d467248445a9a,,0.4.24,['SWC-111'],[111],[10]
SWCregistry,deprecated_simple_fixed,1493bd69dd6c68eaa0a679ca252d5f5a,,0.4.24,[],[],[]
SWCregistry,floating_pragma,89500250806ada2afe14e2acb5f3689a,,0.4.0,['SWC-103'],[103],[10]
SWCregistry,floating_pragma_fixed,88a61fb32ad098aa6b0800fe284bfbae,,0.4.25,[],[],[]
SWCregistry,gas_model,a65831957b88a057c495474b4a50ac19,,0.4.21,['SWC-110'],[110],[10]
SWCregistry,gas_model_fixed,e40675ae52a5c7fed8fb129e532c5561,,0.4.21,[],[],[]
SWCregistry,guess_the_number,4823335157e2905ac5f25be88a49dd74,0xa8fbf2c5508328507c25ff5e66eff773e2a04a78,0.5.0,['SWC-130'],[130],[10]
SWCregistry,guess_the_random_number_fixed,d11c7cdceb570a7aceed51c1b60e78ff,,0.4.25,[],[],[]
SWCregistry,hardcoded_gas_limits,60085140a75be055b1a380bbea0aa6e4,,0.6.4,['SWC-134'],[134],[5]
SWCregistry,incorrect_constructor_name1,bd6e059f15ce84cf528c9f61ab7fc2c4,,0.4.24,['access_control-118'],[118],[2]
SWCregistry,incorrect_constructor_name1_fixed,e3fa5aa8eb4c92b368afc9fb7f79a342,,0.4.24,[],[],[]
SWCregistry,incorrect_constructor_name2,8c192f05fb4a9973c70c1c46c5983c1b,,0.4.24,['access_control-118'],[118],[2]
SWCregistry,integer_overflow_mapping_sym_1_fixed,e7b6184777b29e1b128a9d20e2df462e,,0.4.16,[],[],[]
SWCregistry,integer_overflow_minimal_fixed,f9db9dcb2d4150231a288858d164b0de,,0.4.19,[],[],[]
SWCregistry,integer_overflow_mul_fixed,d7d0302d58b33b4ac6d5f148b03b19d4,,0.4.19,[],[],[]
