dataset,id,fp_sol,Address,SolidityVersion,property,SWC,DASP
eThor,0x015a06a433353f8db634df4eddf0c109882a15ab,014a0178b1fb411bcff909ff91c1f21f,0x015a06a433353f8db634df4eddf0c109882a15ab,0.4.2,[],[],[]
eThor,0x019d7e5ae8d2ba9a292244311dc7355058ab1b08,c4986f55313f44d321bd88a08e4aabc1,0x019d7e5ae8d2ba9a292244311dc7355058ab1b08,0.4.9,[],[],[]
eThor,0x01afc37f4f85babc47c0e2d0eababc7fb49793c8,563c9ddc8d9beb59577ab317bb2d8c8f,0x01afc37f4f85babc47c0e2d0eababc7fb49793c8,0.4.2,['reentrancy'],[107],[1]
eThor,0x022de2e28a61f9d197f8966dd0fc8f7ddf70f2dc,b59abac003c7fbf806d57f7172e2424d,0x022de2e28a61f9d197f8966dd0fc8f7ddf70f2dc,0.4.6,[],[],[]
eThor,0x04daec4e1fc6a4b4555b509b7c5c673ebad29f1f,02000921b6e69ce9772624164efe30d6,0x04daec4e1fc6a4b4555b509b7c5c673ebad29f1f,0.4.0,[],[],[]
eThor,0x06194c50a5a85bb1fee0e73877eefdef64466514,b29628f643bda8160e99dc0a2928ad95,0x06194c50a5a85bb1fee0e73877eefdef64466514,0.4.1,[],[],[]
eThor,0x06bb6701983e126f31a4c20d6becb12dfd70709e,368844558533f8b0100596001b71879e,0x06bb6701983e126f31a4c20d6becb12dfd70709e,0.4.0,['reentrancy'],[107],[1]
eThor,0x0807a2d6a675e7196a3d9b1910700cae9795b72a,5a00d369ef786eed405c4cdb06cda240,0x0807a2d6a675e7196a3d9b1910700cae9795b72a,0.4.6,['reentrancy'],[107],[1]
eThor,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,cf591bebfb0a86189bf5395065cebb8c,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0.4.6,[],[],[]
eThor,0x0b0e47119bf5495dfcd9264916a9fe3481cd24c7,ef40083cf567b07fe108bb9cb8b17a9b,0x0b0e47119bf5495dfcd9264916a9fe3481cd24c7,0.4.0,[],[],[]
eThor,0x0b983fa1bcbdf24bdbfacb660faa76c586a16c64,0109eb4190332c1261dedf7275cecdc2,0x0b983fa1bcbdf24bdbfacb660faa76c586a16c64,0.4.6,[],[],[]
eThor,0x0d47d4aea9da60953fd4ae5c47d2165977c7fbea,517731eb3fb9ae0024fa9d1b39cda7ac,0x0d47d4aea9da60953fd4ae5c47d2165977c7fbea,0.4.9,['reentrancy'],[107],[1]
eThor,0x0f170120733474c6ec7daf6ae6aeeeb8b645e92c,883aa8deb45410e15904c471e86e25bc,0x0f170120733474c6ec7daf6ae6aeeeb8b645e92c,0.4.6,[],[],[]
eThor,0x125c0260feec92471d1a144f3cdce185a565f374,aa730f402b12ee02c2e37a8531e0f419,0x125c0260feec92471d1a144f3cdce185a565f374,0.4.6,['reentrancy'],[107],[1]
eThor,0x139759b6cfada56ccf5b3536f21eac209140a9d4,f74464ec1f4663c077bee9fdaaa29056,0x139759b6cfada56ccf5b3536f21eac209140a9d4,0.4.2,[],[],[]
eThor,0x142eba6cd4e1977fba4a440c882ee460654d1766,d259b3152fcfe6870a2de6e44fc6e654,0x142eba6cd4e1977fba4a440c882ee460654d1766,0.4.8,[],[],[]
eThor,0x15dbdb25f870f21eaf9105e68e249e0426dae916,d89b63cc266d62a8e318aef84870aead,0x15dbdb25f870f21eaf9105e68e249e0426dae916,0.4.2,[],[],[]
eThor,0x160564d346f6e9fb3d93c034f207ecf9791b7739,f18ad371bdbe9e87d8c38cf708621d63,0x160564d346f6e9fb3d93c034f207ecf9791b7739,0.4.7,[],[],[]
eThor,0x1654d540616bfb3f13973ed6019e43005be43219,b9cf60bfe821c22c6c61bd18c4c43edd,0x1654d540616bfb3f13973ed6019e43005be43219,0.4.8,[],[],[]
eThor,0x18429dedafbb65443edf60402294df5c01aee1da,160379813b0fd087c4e0b581a6542d6a,0x18429dedafbb65443edf60402294df5c01aee1da,0.4.6,['reentrancy'],[107],[1]
