dataset,id,chain,addr,contractname,fp_sol,fp_sol2,fp_bytecode,fp_runtime,property,SWC,DASP
SolidiFI,Overflow-Underflow-3,,,CareerOnToken,e01ab8b006611d8612a81724edcfdc02,cd722241b984e03c3b3e7d44e5d89fab,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-30,,,SKYBITToken,acb72f1f3b2898b62d6d841f999e5c77,60946c853b87744818818b7d1104bc14,,,['Overflow-Underflow'],[101],[3]
SBcurated,mishandled,,,SendBack,914172cd9a4220f4edd2f53ac1c140fe,082ce59d6dba073019f173269fa5528b,,,['unchecked_low_level_calls'],[104],[4]
JiuZhou,byte[],,,waste2,f4f5521d8231f09f5145a06c6e55315f,8543063fd919912a246f4f6b47cd4d63,0cd787a372debb6be2de3694e7f08dae,d32c7fd90819ed857bcbea2a1a194011,['byte[]'],[],[10]
SolidiFI,Overflow-Underflow-31,,,FeeTransactionManager,e42f79800a4c6a1bf6fded5cf76c5b5e,6ffd35a74e52932c9ce280caa7d7287c,,,['Overflow-Underflow'],[101],[3]
SBcurated,modifier_reentrancy,,,ModifierEntrancy,c373e8c9c600c430ebbc72e0aba07cbf,b324d3463495b8558948a273cd696980,,,['reentrancy'],[107],[1]
SolidiFI,Overflow-Underflow-32,,,AsseteGram,6e820710a056a4949c7ee0ba07bdd629,215747ab4836aaf0b5f091790e809bdb,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-33,,,Staking,ee686c1134498ebb2157cb061acc2b75,1236e6eecb897140d4aee1a6e911345a,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-34,,,LollypopToken,5e4961d7c9d36a805b2dff709a2c61cc,484bc87837be14403ffb66f5d923f019,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-20,,,RampInstantEthPool,3da12140af9541c656baa96decdbb670,504f31a3d1ad94fc1079cf52fb43de8d,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-21,,,StableDEX,d813e6a1d3f2a9f4978f49c8912ec63b,bcc32850c1283aa2bd16cf4be97b84a3,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-35,,,BitpayerDEX,23cdcd6d3e6ea50e02950ca2383949f3,73dfc99a7c60199de6793a68c108997c,,,['Overflow-Underflow'],[101],[3]
JiuZhou,NoGuessTheNumber,,,NoGuessTheNumber,6ba169c3d2f761905141e198142ebe97,2d5171abaf33adbfbfa061d71eeb8127,94aeeb2443bc50ffa00b83f0107716bf,8610f36f6f12205e2d528229cf0e0e06,[],[],[]
SolidiFI,Timestamp-Dependency-12,,,Grand,a9a2697e134180944bfa16232a11aaa8,f80fc0f1cccd0da1438fa050df88cc14,,,['Timestamp-Dependency'],[116],[8]
SolidiFI,Unchecked-Send-20,,,RampInstantEthPool,a834375dc099e913fc9e7668ac8c1404,f5d9f7f3a1dccd14123ab6ced540f1f3,,,['Unchecked-Send'],[104],[4]
SolidiFI,Unchecked-Send-15,,,MD,48a46f62a5ee4383d29c9ac00e406b23,4125513da1d9819545f3d5c528eed15e,,,['Unchecked-Send'],[104],[4]
SolidiFI,Overflow-Underflow-37,,,AugustCoin,6118522e73e0a3476fee31c1401c4c1b,1314e237c378a9a2c6bfedea30e40a5a,,,['Overflow-Underflow'],[101],[3]
JiuZhou,NoLockedMoney1,,,gray_stuffyWallet,6b753e9924eeb7ada8352929dd784d78,27ff6a5449bfcdb9ab281d0d2bff30e8,a8f9fcaaa1497e5c1de6ad306043f543,98bc116406b0674984165c7b227d341b,[],[],[]
SolidiFI,Timestamp-Dependency-4,,,PHO,75a1d4f547c131286f22e2f684e7e2ba,a756abe80788338d34029e7c76842368,,,['Timestamp-Dependency'],[116],[8]
SolidiFI,Overflow-Underflow-38,,,BIGBOMBv2,41f84b0b8118d03b17aa7d01c6bb4fe1,758a9c94de4de6c69831088fe6b438a7,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-22,,,MindsyncPlatform,07dfae0441fd39d7c11c113600f30091,e753cd31f76bea434c6d5fb51fcea401,,,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-39,,,TAMCContract,786f6d65d4d8cd05531d280e4492f592,48ca3237fccdd25acb798a5a04f5d670,,,['Overflow-Underflow'],[101],[3]
Doublade,0x11606995338d83acabcd06babaf4cdad66c73140-usingOraclize-reentrancy,,,usingOraclize,311ff04c37e05a33801f2f03c1b7e26d,ec16ef1e8d409a704d6a67637843aec6,,,[],[],[]
Doublade,0x38e9d51419dc53bb8c899a5fd473ce111b1757c4-usingOraclize-reentrancy,,,usingOraclize,db4ed99c2e2fcd0c9e14f3b44d134460,60ac42b2679d254852dab77faee1d58e,,,[],[],[]
Doublade,0x395df49c20e34a7ea995cbf546e54f66172992ea-BlockHashRNG-lowlevelcall_result,,,BlockHashRNG,c6bc7996daf9cf5319935f1ba6def79e,62370e01ea0ce7840a00043ae3f71313,,,['lowlevelcall_result'],[104],[4]
